timestamp,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,temp_m1_C,temp_m2_C,temp_m3_C,temp_m4_C,temp_m5_C,temp_m6_C,temp_m7_C,temp_m8_C,rpi_temp_C,cpu_percent,mem_total_B,mem_used_B,mem_free_B,load1,load5,load15,disk_total_B,disk_used_B
2026-04-27T15:20:53.777480+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:53.828113+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:53.879754+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:53.930047+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:53.981932+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:54.035677+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:54.088016+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4326752357735435,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:54.138912+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4342092165614293,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:54.192960+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6829470359896241,1.4227316498359033,2.3682311860930327,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4342092165614293,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
2026-04-27T15:20:54.243868+02:00,0.09766771607908764,0.2677436767063165,0.23697002434111153,1.6844810167775084,1.422731649835903,2.368231186093031,1.1833304300638852,-0.13989816641188357,-0.27347816332532116,0.1534907323783572,-1.1060928016553402,0.4342092165614293,50.0,51.0,50.0,40.0,43.0,25.0,29.0,27.0,53.0,93.85,3975442432,1541087232,1518501888,7.24,8.14,8.89,25297891328,9720680448
